metric,value
enterprises,213.0
active_sectors,36.0
cooccurrences,375.0
total_chi2,6528.509098266494
total_inertia,17.40935759537732
axis_1_eigenvalue,0.9999999999999989
axis_2_eigenvalue,0.8982600551859631
axis_1_inertia_pct,5.744037334643108
axis_2_inertia_pct,5.159639293206757
