company_1,company_2,similarity,distance
Multiverse Computing,AMI - Advanced Machine Intelligence,0.53629404,0.46370596
World Labs,Black Forest Labs,0.5355023,0.4644977
Perplexity AI,Comand AI,0.53537136,0.46462864
Anthropic,5C,0.53515446,0.46484554
Scale AI,ARM Holdings,0.53484917,0.46515083
Cerebras,AMD,0.53440094,0.46559906
Scale AI,Prophesee,0.5343718,0.4656282
5C,Appen,0.53357023,0.46642977
Mistral AI,Comand AI,0.53318757,0.46681243
Anthropic,Mistral AI,0.5328847,0.46711528
Scale AI,Sakana AI,0.5327059,0.4672941
Hugging Face,Nabla,0.5324518,0.4675482
AMD,Hugging Face,0.5320781,0.4679219
Scale AI,Nscale,0.53199947,0.46800053
Hugging Face,Black Forest AI GmbH,0.5312821,0.46871787
OpenAI,Physical Intelligence,0.5308675,0.46913248
Anthropic,World Labs,0.5302662,0.46973377
Black Forest AI GmbH,Comand AI,0.5300279,0.46997207
Synthesia,Sakana AI,0.52886564,0.47113436
Hugging Face,SiPearl,0.5281361,0.47186393
Anthropic,Sakana AI,0.5280564,0.47194362
PolyAI,Parloa,0.5277917,0.47220832
Anthropic,Physical Intelligence,0.52773005,0.47226995
01.AI,Lightspeed,0.5275457,0.4724543
MiniMax,Synthesia,0.5269044,0.4730956
Anthropic,Black Forest Labs,0.52687657,0.47312343
Databricks,Hugging Face,0.52662146,0.47337854
MiniMax,1X Technologies,0.52637535,0.47362465
Hugging Face,Xelix,0.5257158,0.47428417
Sidetrade,Lightspeed,0.5253891,0.47461092
Hugging Face,Tessl,0.5248889,0.47511113
AMI - Advanced Machine Intelligence,Black Forest AI GmbH,0.52469903,0.47530097
Mistral AI,UiPath,0.5242871,0.4757129
Black Forest Labs,Hugging Face,0.5234112,0.4765888
1X Technologies,H Company,0.52313036,0.47686964
Hugging Face,Lightspeed,0.52310187,0.47689813
Scale AI,Cerebras,0.5230958,0.4769042
AMI - Advanced Machine Intelligence,Prophesee,0.52299196,0.47700804
Anthropic,Appen,0.522914,0.477086
Lightspeed,Comand AI,0.52182806,0.47817194
Mistral AI,AMI - Advanced Machine Intelligence,0.52146816,0.47853184
ManoMano,Prophesee,0.5204172,0.4795828
Synthesia,Appen,0.5203887,0.47961128
OpenAI,AMI - Advanced Machine Intelligence,0.5202866,0.47971338
Physical Intelligence,Groq,0.5187212,0.48127878
Scale AI,Apollo,0.5186444,0.4813556
Cerebras,Sakana AI,0.5177502,0.4822498
1X Technologies,01.AI,0.51760274,0.48239726
BuildOps,Cognism,0.5173948,0.48260522
BenevolentAI,Sakana AI,0.5168677,0.4831323
1X Technologies,Comand AI,0.5167854,0.48321462
MiniMax,Sakana AI,0.5166952,0.4833048
Hugging Face,Sakana AI,0.516659,0.48334098
MiniMax,H Company,0.5165415,0.48345852
Databricks,5C,0.5156291,0.4843709
Anthropic,Cerebras,0.5145175,0.4854825
Perplexity,Comand AI,0.51405674,0.48594326
ARM Holdings,Appen,0.5135006,0.48649943
Scale AI,RobCo GmbH,0.5134113,0.48658872
ManoMano,RobCo GmbH,0.5133796,0.48662043
Mistral AI,Hugging Face,0.51299554,0.48700446
OpenAI,Appen,0.5129364,0.4870636
Scale AI,AMD,0.5124536,0.48754638
UiPath,5C,0.512357,0.487643
Anthropic,UiPath,0.512216,0.48778403
Hugging Face,Palantir,0.5119166,0.48808342
Physical Intelligence,PhotoRoom,0.51184076,0.48815924
Synthesia,RobCo GmbH,0.51171744,0.48828256
Groq,Palantir,0.5108395,0.48916048
Anthropic,Oracle,0.5108168,0.4891832
AMI - Advanced Machine Intelligence,ManoMano,0.51017296,0.48982704
ManoMano,Aleph Alpha,0.51014775,0.48985225
Oracle,ARM Holdings,0.5101157,0.48988432
Applied Intuition,Perplexity AI,0.5100206,0.4899794
OpenAI,Black Forest Labs,0.509805,0.49019498
Black Forest Labs,Prophesee,0.5096977,0.49030232
PolyAI,Synthesia,0.5095322,0.4904678
ManoMano,Comand AI,0.5093254,0.49067461
Cohere,ContentSquare,0.50883913,0.49116087
ManoMano,PhotoRoom,0.50872195,0.49127805
Anthropic,Black Forest AI GmbH,0.50843304,0.49156696
Scale AI,Hailo Technologies,0.5080336,0.49196643
MiniMax,Lightspeed,0.50719476,0.49280524
UiPath,BenevolentAI,0.5071272,0.49287277
PolyAI,Appen,0.5068991,0.49310088
AMI - Advanced Machine Intelligence,Palantir,0.5065607,0.49343932
Groq,Appen,0.5060617,0.49393833
Perplexity,Synthesia,0.50579,0.49421
Scale AI,PhotoRoom,0.5051797,0.4948203
Scale AI,Mistral AI,0.5044798,0.49552017
Physical Intelligence,Owkin,0.50441813,0.49558187
Y combinator,Hugging Face,0.50433016,0.49566984
OpenAI,World Labs,0.5029225,0.49707752
Lightspeed,Clay,0.5027726,0.49722737
PhotoRoom,Adobe,0.5027573,0.4972427
Anthropic,ARM Holdings,0.5027248,0.49727517
Synthesia,PhotoRoom,0.5024859,0.49751413
Mistral AI,Black Forest AI GmbH,0.50224674,0.49775326
Perplexity,Applied Intuition,0.5021196,0.4978804
ManoMano,Appen,0.5019288,0.4980712
Physical Intelligence,Sakana AI,0.50191027,0.49808973
OpenAI,UiPath,0.50185305,0.49814695
OpenAI,PolyAI,0.5014458,0.49855423
1X Technologies,Synthesia,0.50062156,0.49937844
Anthropic,Wayve,0.50046957,0.49953043
Scale AI,Tessl,0.5003378,0.49966222
Mistral AI,Physical Intelligence,0.50030136,0.49969864
Physical Intelligence,Hailo Technologies,0.50001436,0.49998564
OpenAI,Wayve,0.49998915,0.50001085
Scale AI,MiniMax,0.49962604,0.50037396
Groq,BenevolentAI,0.499127,0.50087297
Apollo,Comand AI,0.49838826,0.5016117
Oracle,Hugging Face,0.4983361,0.5016639
01.AI,ARM Holdings,0.49697632,0.5030237
ManoMano,Owkin,0.49690044,0.50309956
Groq,Hailo Technologies,0.4968433,0.50315666
Scale AI,Nabla,0.49680337,0.5031966
Scale AI,SiPearl,0.49636915,0.5036309
Scale AI,Perplexity AI,0.4962257,0.5037743
Hailo Technologies,Hugging Face,0.49545172,0.5045483
5C,ARM Holdings,0.49481374,0.50518626
Anthropic,Nscale,0.49420926,0.5057907
Physical Intelligence,Multiverse Computing,0.49409595,0.5059041
PolyAI,01.AI,0.49409077,0.5059092
5C,PolyAI,0.49380517,0.50619483
Synthesia,H Company,0.49370235,0.50629765
Procore,Cognism,0.49367848,0.50632155
Scale AI,H Company,0.49352118,0.5064788
ManoMano,Apollo,0.49339166,0.50660837
Shift Technology,Comand AI,0.49322003,0.50677997
5C,Comand AI,0.4929442,0.50705576
OpenAI,Groq,0.49268475,0.5073153
UiPath,Hailo Technologies,0.49261397,0.507386
Cerebras,Prophesee,0.49257225,0.50742775
Sakana AI,Appen,0.4915436,0.5084564
01.AI,Apollo,0.49153,0.50847
AMI - Advanced Machine Intelligence,AMD,0.49122262,0.5087774
AMI - Advanced Machine Intelligence,01.AI,0.49114296,0.508857
Physical Intelligence,1X Technologies,0.49027494,0.5097251
Exotec,BuildOps,0.48969474,0.5103053
Databricks,Cohere,0.48918623,0.5108138
Nscale,5C,0.48886627,0.51113373
Scale AI,Synthesia,0.48841873,0.5115813
Applied Intuition,Exotec,0.48834383,0.51165617
Mistral AI,MiniMax,0.48746175,0.51253825
5C,Y combinator,0.48711506,0.512885
Cerebras,Palantir,0.48687118,0.5131288
Physical Intelligence,Black Forest Labs,0.48656586,0.5134342
Perplexity AI,Lightspeed,0.48597264,0.51402736
Scale AI,Black Forest AI GmbH,0.48536113,0.5146389
World Labs,Aqemia,0.48516044,0.51483953
Scale AI,Xelix,0.48497236,0.51502764
Exotec,H Company,0.4849428,0.5150572
Groq,5C,0.4848674,0.5151326
5C,Sakana AI,0.48474437,0.51525563
UiPath,Groq,0.48455277,0.51544726
Cognism,PlanRadar,0.48453218,0.5154678
1X Technologies,BenevolentAI,0.48438233,0.51561767
AMI - Advanced Machine Intelligence,Sakana AI,0.48419955,0.5158005
Physical Intelligence,H Company,0.48414028,0.5158597
Anthropic,Palantir,0.48339173,0.51660824
Scale AI,Clay,0.48337793,0.51662207
Scale AI,Black Forest Labs,0.48251015,0.51748985
AMD,Appen,0.48247394,0.51752603
Nscale,Prophesee,0.48194963,0.5180504
Anthropic,Lightspeed,0.48191732,0.5180827
Wayve,Sidetrade,0.4816459,0.51835406
Physical Intelligence,RobCo GmbH,0.48106897,0.51893103
World Labs,Comand AI,0.48099956,0.5190004
ManoMano,Lightspeed,0.4803442,0.5196558
Nscale,Physical Intelligence,0.47994354,0.5200565
Groq,Synthesia,0.4795554,0.52044463
5C,Hailo Technologies,0.4794841,0.5205159
Perplexity AI,Shift Technology,0.47926533,0.52073467
UiPath,Synthesia,0.4790587,0.52094126
Apollo,Clay,0.47903728,0.5209627
BenevolentAI,Comand AI,0.47888723,0.5211128
Celonis,Black Forest AI GmbH,0.47862485,0.5213752
PhotoRoom,Lightspeed,0.47840887,0.5215911
Physical Intelligence,Comand AI,0.47809583,0.5219042
Mistral AI,Perplexity,0.47788385,0.5221162
Comand AI,Tessl,0.47717208,0.5228279
OpenAI,Perplexity AI,0.47707692,0.5229231
Shift Technology,Clay,0.47707507,0.5229249
Anthropic,Multiverse Computing,0.4770088,0.5229912
Groq,Owkin,0.4766603,0.5233397
AMI - Advanced Machine Intelligence,Y combinator,0.4765931,0.52340686
UiPath,AMD,0.4765652,0.52343476
Physical Intelligence,Synthesia,0.47651136,0.52348864
Shift Technology,Apollo,0.4762254,0.5237746
Scale AI,Perplexity,0.4760089,0.5239911
Scale AI,Aleph Alpha,0.47594926,0.5240507
Lightspeed,Appen,0.4758779,0.5241221
UiPath,H Company,0.47587186,0.52412814
UiPath,Palantir,0.47572777,0.5242722
BenevolentAI,Hailo Technologies,0.47537667,0.52462333
Hugging Face,Apollo,0.47528958,0.5247104
Wayve,Comand AI,0.47458383,0.52541614
OpenAI,Black Forest AI GmbH,0.47432795,0.5256721
Sidetrade,Hugging Face,0.47366676,0.5263332
Physical Intelligence,ARM Holdings,0.47357967,0.52642035
Anthropic,Comand AI,0.4733429,0.5266571
Databricks,Scale AI,0.473175,0.526825
Anthropic,Groq,0.47266647,0.5273335
SiPearl,Comand AI,0.4723731,0.5276269
Comand AI,Nabla,0.47220126,0.5277988
World Labs,Black Forest AI GmbH,0.47156444,0.5284356
01.AI,Tessl,0.4712956,0.5287044
Hailo Technologies,Black Forest AI GmbH,0.47117293,0.5288271
Scale AI,Y combinator,0.47111312,0.5288869
Applied Intuition,RobCo GmbH,0.47082952,0.5291705
Groq,01.AI,0.47062168,0.5293783
5C,H Company,0.47022584,0.5297742
UiPath,AMI - Advanced Machine Intelligence,0.4700451,0.5299549
Hailo Technologies,Black Forest Labs,0.47004044,0.52995956
Cerebras,Black Forest Labs,0.46991065,0.5300894
Physical Intelligence,Hugging Face,0.4695317,0.53046834
01.AI,SiPearl,0.46951982,0.53048015
UiPath,SiPearl,0.46949443,0.53050554
Anthropic,MiniMax,0.4692985,0.5307015
Groq,Black Forest AI GmbH,0.46923634,0.5307636
Anthropic,ManoMano,0.4688366,0.5311634
Physical Intelligence,BenevolentAI,0.46873283,0.53126717
BenevolentAI,Synthesia,0.468674,0.531326
Groq,Black Forest Labs,0.46867245,0.53132755
Nscale,Groq,0.46852508,0.53147495
UiPath,Nabla,0.4681123,0.5318877
Celonis,Hugging Face,0.46806815,0.5319319
Groq,AMI - Advanced Machine Intelligence,0.46771127,0.53228873
Celonis,Exotec,0.4676208,0.5323792
01.AI,Aleph Alpha,0.46752262,0.5324774
Anthropic,Hailo Technologies,0.46749657,0.5325034
Mistral AI,Multiverse Computing,0.4674282,0.5325718
Perplexity,01.AI,0.46735317,0.53264683
OpenAI,Lightspeed,0.4672925,0.5327075
Black Forest Labs,Sakana AI,0.46718916,0.5328108
Groq,Apollo,0.46706662,0.53293335
AMI - Advanced Machine Intelligence,Appen,0.46650112,0.5334989
Physical Intelligence,PolyAI,0.4662756,0.5337244
Sakana AI,H Company,0.46555242,0.53444755
Anthropic,Celonis,0.46520013,0.5347999
Qualified,Cognism,0.4651551,0.5348449
OpenAI,Aqemia,0.46480662,0.5351934
BenevolentAI,H Company,0.46475196,0.53524804
Hailo Technologies,Lightspeed,0.46465257,0.53534746
UiPath,Xelix,0.46436104,0.5356389
Synthesia,Lightspeed,0.46415523,0.5358448
UiPath,Tessl,0.46388155,0.53611845
ManoMano,H Company,0.46379697,0.536203
Physical Intelligence,5C,0.463542,0.536458
Physical Intelligence,ManoMano,0.4635312,0.5364688
Perplexity,Appen,0.4633526,0.53664744
Physical Intelligence,Aqemia,0.46286967,0.53713036
Scale AI,Indium,0.462501,0.537499
Celonis,Palantir,0.46217525,0.53782475
Celonis,BuildOps,0.46203062,0.53796935
Hugging Face,Owkin,0.46185842,0.5381416
ARM Holdings,Cambricon Technologies,0.4617808,0.5382192
Xelix,Comand AI,0.4616653,0.5383347
5C,Black Forest Labs,0.46155697,0.538443
Anthropic,Synthesia,0.4615048,0.5384952
OpenAI,Exotec,0.46128362,0.5387164
AMI - Advanced Machine Intelligence,5C,0.46100217,0.5389978
Aqemia,Prophesee,0.46079025,0.5392097
Groq,H Company,0.46057203,0.539428
Cohere,Comand AI,0.46045676,0.5395433
Mistral AI,BenevolentAI,0.4603963,0.5396037
MiniMax,Hugging Face,0.46018335,0.5398166
AMI - Advanced Machine Intelligence,Tessl,0.45989498,0.540105
Scale AI,PolyAI,0.45967174,0.54032826
ManoMano,Perplexity AI,0.45933792,0.54066205
Black Forest Labs,Owkin,0.45914993,0.54085004
AMI - Advanced Machine Intelligence,SiPearl,0.4589412,0.5410588
OpenAI,Owkin,0.45891884,0.5410812
RobCo GmbH,BuildOps,0.45883268,0.5411673
1X Technologies,Exotec,0.4588058,0.5411942
5C,01.AI,0.45876795,0.54123205
OpenAI,Hailo Technologies,0.45849675,0.54150325
OpenAI,Perplexity,0.45831043,0.5416896
MiniMax,World Labs,0.45779952,0.54220045
AMI - Advanced Machine Intelligence,Comand AI,0.45774737,0.54225266
01.AI,Xelix,0.45754153,0.5424585
Celonis,Black Forest Labs,0.4574135,0.5425865
Scale AI,Sidetrade,0.45719048,0.5428095
Databricks,Clay,0.45705834,0.5429417
PolyAI,RobCo GmbH,0.45690757,0.5430924
ByteDance,Cohere,0.45656064,0.5434394
Cerebras,Mistral AI,0.45638007,0.54361993
Applied Intuition,Shift Technology,0.45628068,0.5437193
01.AI,Nabla,0.45626464,0.5437354
World Labs,Multiverse Computing,0.4558403,0.5441597
Mistral AI,ARM Holdings,0.45564026,0.54435974
Cohere,Hugging Face,0.4556291,0.5443709
Wayve,ManoMano,0.45524228,0.5447577
Sidetrade,Clay,0.4550978,0.5449022
Physical Intelligence,Black Forest AI GmbH,0.45475248,0.54524755
Anthropic,AMD,0.45436946,0.5456306
Shift Technology,Hugging Face,0.4542311,0.54576886
Cerebras,Comand AI,0.45398626,0.5460137
Celonis,Groq,0.45397457,0.5460254
ManoMano,Indium,0.4539214,0.54607856
BenevolentAI,Palantir,0.4536336,0.5463664
AMI - Advanced Machine Intelligence,Nabla,0.45329642,0.5467036
Perplexity AI,Apollo,0.45275456,0.54724544
Perplexity AI,Appen,0.45272064,0.54727936
OpenAI,Y combinator,0.45270416,0.5472958
H Company,BuildOps,0.4525381,0.54746187
Black Forest Labs,Lightspeed,0.4523622,0.5476378
Aleph Alpha,Black Forest AI GmbH,0.45218813,0.54781187
Celonis,H Company,0.45186937,0.54813063
AMD,Oracle,0.4513426,0.5486574
Waymo,Applied Intuition,0.45093614,0.54906386
2CRSI,Apollo,0.45081156,0.54918844
Hugging Face,Clay,0.4505451,0.5494549
Physical Intelligence,AMD,0.45047447,0.5495255
OpenAI,Palantir,0.45013726,0.54986274
Nscale,Black Forest Labs,0.4499856,0.5500144
Shift Technology,Appen,0.44990155,0.5500984
OpenAI,Parloa,0.44978726,0.55021274
UiPath,1X Technologies,0.44922745,0.55077255
AMI - Advanced Machine Intelligence,Xelix,0.44914964,0.5508504
Multiverse Computing,Aqemia,0.4491488,0.5508512
OpenAI,5C,0.44910443,0.5508956
Cohere,5C,0.44887882,0.5511212
01.AI,Black Forest AI GmbH,0.4485874,0.5514126
Synthesia,Shift Technology,0.44846714,0.55153286
Physical Intelligence,UiPath,0.4483997,0.55160034
BenevolentAI,Owkin,0.44824347,0.5517565
Wayve,Appen,0.44818488,0.55181515
Apollo,Appen,0.44804272,0.55195725
