company_1,company_2,similarity,distance
AMD,Palantir,0.42802382,0.5719762
PhotoRoom,Hugging Face,0.42780343,0.5721966
OpenAI,Clay,0.42768887,0.57231116
Aleph Alpha,Hailo Technologies,0.42757955,0.5724205
Alibaba,Groq,0.42752993,0.57247007
Scale AI,Oracle,0.42726633,0.57273364
Cerebras,Multiverse Computing,0.42722103,0.57277894
Applied Intuition,01.AI,0.42712435,0.5728756
Exotec,Clay,0.42705482,0.5729452
Mistral AI,Palantir,0.42700833,0.57299167
Groq,World Labs,0.4266562,0.5733438
Cerebras,UiPath,0.42646852,0.5735315
Physical Intelligence,Y combinator,0.42644712,0.57355285
AMI - Advanced Machine Intelligence,ARM Holdings,0.42632103,0.573679
Synthesia,ARM Holdings,0.42630452,0.5736955
RobCo GmbH,PhotoRoom,0.4262299,0.5737701
Apollo,Qualified,0.42613947,0.5738605
H Company,Appen,0.4258576,0.5741424
Physical Intelligence,MiniMax,0.42579263,0.57420737
World Labs,5C,0.42578664,0.5742134
5C,Oracle,0.4257354,0.5742646
Groq,1X Technologies,0.4257287,0.5742713
BuildOps,Qualified,0.425629,0.574371
OpenAI,Cerebras,0.4254436,0.5745564
Nscale,Hailo Technologies,0.4252451,0.5747549
Celonis,Sakana AI,0.42487788,0.5751221
Groq,Exotec,0.42473486,0.57526517
Cerebras,Synthesia,0.42469206,0.57530797
Physical Intelligence,Shift Technology,0.42467463,0.57532537
Owkin,Comand AI,0.4245052,0.57549477
Hailo Technologies,PhotoRoom,0.42448848,0.5755115
Wayve,World Labs,0.4244021,0.5755979
OpenAI,Celonis,0.4240662,0.5759338
Sakana AI,Ant Group,0.42383775,0.5761622
UiPath,ManoMano,0.42369956,0.57630044
ByteDance,Databricks,0.423508,0.576492
Mistral AI,Aleph Alpha,0.42338926,0.57661074
PhotoRoom,Apollo,0.42333153,0.5766685
ByteDance,Cambricon Technologies,0.42312413,0.57687587
Cerebras,Black Forest AI GmbH,0.42285472,0.5771453
Applied Intuition,Apollo,0.4227343,0.57726574
Hugging Face,Indium,0.42249167,0.57750833
OpenAI,1X Technologies,0.42241266,0.57758737
Hailo Technologies,BuildOps,0.42225283,0.57774717
PolyAI,Lightspeed,0.422084,0.577916
Mistral AI,Aqemia,0.4219357,0.5780643
PolyAI,Perplexity AI,0.42161688,0.5783831
5C,1X Technologies,0.42146477,0.5785352
Lightspeed,Black Forest AI GmbH,0.42127246,0.57872754
BuildOps,Clay,0.42121607,0.5787839
Databricks,Lightspeed,0.42121485,0.5787852
ARM Holdings,Apollo,0.42118332,0.57881665
Synthesia,Perplexity AI,0.42106307,0.57893693
Anthropic,BenevolentAI,0.42091537,0.57908463
World Labs,Lightspeed,0.42071393,0.5792861
Sakana AI,Black Forest AI GmbH,0.42064124,0.57935876
Hailo Technologies,Exotec,0.42058346,0.5794165
Groq,2CRSI,0.42054713,0.5794529
OpenAI,Databricks,0.42053956,0.57946044
Mistral AI,1X Technologies,0.42046878,0.5795312
Acronis,2CRSI,0.42039785,0.5796021
UiPath,Black Forest AI GmbH,0.42019287,0.57980716
Procore,Hugging Face,0.42001384,0.57998616
AMD,Comand AI,0.42000306,0.57999694
Groq,ARM Holdings,0.41981706,0.5801829
5C,SiPearl,0.41969386,0.5803062
AMD,Y combinator,0.41948894,0.5805111
ManoMano,Exotec,0.41936606,0.58063394
Anthropic,Adobe,0.4193166,0.5806834
World Labs,Tessl,0.41909418,0.5809058
Perplexity,PolyAI,0.41901603,0.580984
AMI - Advanced Machine Intelligence,H Company,0.4189061,0.5810939
5C,Xelix,0.418892,0.581108
5C,Synthesia,0.4188603,0.5811397
Scale AI,Einride,0.41873524,0.58126473
MiniMax,BenevolentAI,0.41872698,0.581273
Groq,ManoMano,0.41833147,0.5816685
ByteDance,Hailo Technologies,0.41831678,0.5816832
Wayve,BenevolentAI,0.4183139,0.58168614
2CRSI,BenevolentAI,0.4181834,0.5818166
Applied Intuition,ManoMano,0.4180958,0.5819042
Databricks,Mistral AI,0.4179975,0.5820025
Cerebras,1X Technologies,0.41799393,0.5820061
Oracle,Palantir,0.41790625,0.5820937
Perplexity,Hugging Face,0.4179042,0.5820958
ByteDance,01.AI,0.4178662,0.58213377
Cerebras,Cambricon Technologies,0.41766402,0.58233595
Nscale,Lightspeed,0.41750577,0.58249426
Scale AI,1X Technologies,0.41741636,0.58258367
H Company,Apollo,0.41737607,0.58262396
Multiverse Computing,Palantir,0.41733745,0.5826626
5C,Clay,0.41728067,0.5827193
Shift Technology,Hailo Technologies,0.41717863,0.58282137
AMI - Advanced Machine Intelligence,Aleph Alpha,0.41717625,0.58282375
Nscale,Comand AI,0.41716278,0.5828372
Mistral AI,PolyAI,0.4171376,0.5828624
Cerebras,ManoMano,0.41713598,0.58286405
Physical Intelligence,Appen,0.41684854,0.58315146
Wayve,Gousto,0.41625524,0.58374476
PolyAI,Clay,0.41620997,0.58379006
MiniMax,ManoMano,0.41617358,0.5838264
Multiverse Computing,Oracle,0.41592646,0.58407354
OpenAI,PhotoRoom,0.41587552,0.58412445
Applied Intuition,Lightspeed,0.41577652,0.5842235
Mistral AI,Prophesee,0.41574743,0.5842526
Physical Intelligence,Clay,0.41566446,0.58433557
ManoMano,Synthesia,0.4155775,0.58442247
Mistral AI,ManoMano,0.4155706,0.5844294
01.AI,Ant Group,0.41553673,0.58446324
Black Forest Labs,Aqemia,0.41537017,0.58462983
Aleph Alpha,Owkin,0.41523412,0.5847659
Palantir,H Company,0.41502947,0.58497053
Sakana AI,Prophesee,0.41501474,0.58498526
Nscale,Owkin,0.41489458,0.5851054
Cerebras,Oracle,0.41472948,0.5852705
Physical Intelligence,Palantir,0.4146431,0.5853569
Sakana AI,Apollo,0.41462168,0.5853783
Aleph Alpha,Xelix,0.4145732,0.5854268
Applied Intuition,Comand AI,0.41446385,0.5855361
01.AI,Oracle,0.41432908,0.58567095
Cerebras,2CRSI,0.41432288,0.58567715
Anthropic,1X Technologies,0.4142488,0.5857512
World Labs,SiPearl,0.4142214,0.5857786
Wayve,Owkin,0.4141421,0.58585787
Nscale,Sakana AI,0.4140542,0.58594584
Groq,Applied Intuition,0.41400215,0.5859978
Groq,AMD,0.41392478,0.5860752
AMD,Black Forest Labs,0.41386145,0.58613855
Anthropic,Perplexity,0.4138329,0.5861671
Mistral AI,SiPearl,0.41379866,0.5862013
PolyAI,Hailo Technologies,0.41340452,0.5865955
Hailo Technologies,Oracle,0.41294438,0.5870556
Black Forest Labs,PhotoRoom,0.41289183,0.58710814
Owkin,Black Forest AI GmbH,0.41268066,0.5873194
ManoMano,DentalMonitoring,0.41262636,0.5873736
Aleph Alpha,Nabla,0.4125577,0.5874423
Databricks,PlanRadar,0.41251656,0.5874834
Cohere,Clay,0.4125012,0.5874988
Cerebras,01.AI,0.41238037,0.58761966
Applied Intuition,Appen,0.41226912,0.5877309
PhotoRoom,Indium,0.41177082,0.5882292
Nscale,2CRSI,0.41153118,0.5884688
Groq,Perplexity AI,0.41145355,0.58854645
Indium,Lightspeed,0.41119173,0.5888083
Perplexity,RobCo GmbH,0.41116834,0.58883166
World Labs,Nabla,0.41101384,0.58898616
Groq,Perplexity,0.41031927,0.58968073
World Labs,Perplexity AI,0.41028833,0.58971167
UiPath,Black Forest Labs,0.40987647,0.59012353
Groq,Sidetrade,0.40980777,0.5901922
Databricks,World Labs,0.40962946,0.59037054
Wayve,Shift Technology,0.4094515,0.5905485
Aleph Alpha,SiPearl,0.40944082,0.5905592
Physical Intelligence,Oracle,0.40914863,0.59085137
Mistral AI,Lightspeed,0.4089645,0.5910355
Y combinator,Black Forest Labs,0.40881494,0.5911851
Synthesia,Adobe,0.40866107,0.59133893
Mistral AI,Nabla,0.40847695,0.59152305
Procore,Sakana AI,0.4083325,0.59166753
5C,BuildOps,0.40829048,0.5917095
AMI - Advanced Machine Intelligence,Oracle,0.4082718,0.5917282
Prophesee,Comand AI,0.4082287,0.5917713
Databricks,Black Forest Labs,0.4081225,0.59187746
Shift Technology,Indium,0.40811604,0.59188396
MiniMax,PolyAI,0.4080968,0.5919032
Databricks,Black Forest AI GmbH,0.40773088,0.5922691
Sidetrade,Appen,0.4075941,0.5924059
Physical Intelligence,Celonis,0.40754804,0.59245193
Celonis,Oracle,0.4074139,0.5925861
Groq,Parloa,0.40735438,0.59264565
Synthesia,Aqemia,0.40714604,0.59285396
Cerebras,Wayve,0.40708986,0.5929102
5C,RobCo GmbH,0.40704492,0.5929551
Nscale,Palantir,0.40691218,0.5930878
Mistral AI,Perplexity AI,0.406895,0.59310496
World Labs,Xelix,0.40676743,0.5932326
Y combinator,Black Forest AI GmbH,0.4066565,0.5933435
Mistral AI,Tessl,0.40650448,0.5934955
Exotec,Lightspeed,0.40642095,0.59357905
Mistral AI,Cohere,0.40628582,0.5937142
PhotoRoom,Cambricon Technologies,0.40614593,0.59385407
Scale AI,Cohere,0.4061432,0.5938568
Perplexity,BenevolentAI,0.40612972,0.5938703
Groq,Harvey,0.4059683,0.5940317
Multiverse Computing,Y combinator,0.40595496,0.59404504
Wayve,H Company,0.4058709,0.5941291
ManoMano,01.AI,0.4057245,0.5942755
Physical Intelligence,2CRSI,0.40571108,0.59428895
01.AI,RobCo GmbH,0.40567476,0.59432524
Celonis,Acronis,0.40530607,0.5946939
Wayve,Palantir,0.40515065,0.59484935
Hailo Technologies,Apollo,0.4051489,0.59485114
5C,Palantir,0.4050382,0.59496176
Exotec,Black Forest AI GmbH,0.40503582,0.59496415
Mistral AI,Xelix,0.40492332,0.5950767
Scale AI,BuildOps,0.40474573,0.5952543
5C,Procore,0.40456438,0.5954356
Synthesia,Cambricon Technologies,0.40444005,0.59555995
Alibaba,MiniMax,0.40441886,0.5955812
Waymo,ManoMano,0.40432733,0.59567267
PolyAI,Hugging Face,0.404203,0.595797
Aleph Alpha,H Company,0.4041775,0.5958225
UiPath,MiniMax,0.40407026,0.59592974
Perplexity,Sakana AI,0.40399504,0.59600496
Synthesia,BuildOps,0.40358105,0.596419
World Labs,Y combinator,0.40347368,0.5965263
Adobe,Clay,0.40321112,0.5967889
Wayve,Exotec,0.40290803,0.597092
Physical Intelligence,Applied Intuition,0.40285432,0.5971457
UiPath,Cohere,0.4027425,0.5972575
Multiverse Computing,Black Forest Labs,0.40266114,0.59733886
2CRSI,H Company,0.4022581,0.5977419
Synthesia,Black Forest AI GmbH,0.40192157,0.5980784
Perplexity,Shift Technology,0.40176207,0.59823793
Wayve,Applied Intuition,0.4016583,0.5983417
UiPath,Perplexity,0.40163416,0.59836584
Shift Technology,Sakana AI,0.40158883,0.5984112
Multiverse Computing,Prophesee,0.40158737,0.59841263
Applied Intuition,Black Forest AI GmbH,0.40148422,0.59851575
Groq,Aqemia,0.40142402,0.59857595
Einride,Aleph Alpha,0.40125746,0.59874254
Lightspeed,H Company,0.4011515,0.59884846
Celonis,ARM Holdings,0.4010591,0.5989409
Wayve,Black Forest AI GmbH,0.40084806,0.59915197
UiPath,Clay,0.4005349,0.59946513
PolyAI,Qualified,0.40038064,0.5996194
2CRSI,Synthesia,0.40025422,0.59974575
OpenAI,Prophesee,0.400243,0.59975696
Black Forest AI GmbH,Appen,0.4001635,0.59983647
PhotoRoom,ARM Holdings,0.40016136,0.5998386
Indium,Appen,0.40013582,0.5998642
Alibaba,Hailo Technologies,0.39998573,0.60001427
Wayve,Cohere,0.39984944,0.6001506
AMI - Advanced Machine Intelligence,1X Technologies,0.39971823,0.6002818
OpenAI,Multiverse Computing,0.399649,0.600351
AMI - Advanced Machine Intelligence,PhotoRoom,0.39960843,0.60039157
Cerebras,Appen,0.39952838,0.6004716
Mistral AI,Celonis,0.3993195,0.6006805
BenevolentAI,Hugging Face,0.3992167,0.6007833
Oracle,Sakana AI,0.3989938,0.6010062
Synthesia,Apollo,0.39875853,0.60124147
Cerebras,H Company,0.3984454,0.60155463
Oracle,H Company,0.3983468,0.6016532
Waymo,Lightspeed,0.3982536,0.60174644
Clay,Appen,0.3978166,0.6021834
Anthropic,Aqemia,0.39774063,0.6022594
Scale AI,Procore,0.39769304,0.60230696
PolyAI,ManoMano,0.39768502,0.60231495
Cohere,Groq,0.39764377,0.6023562
Databricks,AMI - Advanced Machine Intelligence,0.3976392,0.60236084
OpenAI,Cohere,0.3975423,0.6024577
BenevolentAI,Appen,0.39750913,0.6024909
Perplexity AI,Hugging Face,0.39700577,0.6029942
PolyAI,Comand AI,0.39693362,0.6030664
Aleph Alpha,Tessl,0.3967757,0.6032243
ByteDance,UiPath,0.39667833,0.6033217
World Labs,Synthesia,0.3965104,0.60348964
Waymo,Scale AI,0.39648986,0.60351014
Palantir,Black Forest AI GmbH,0.3964828,0.6035172
World Labs,Perplexity,0.396425,0.603575
Aleph Alpha,Lightspeed,0.39639896,0.60360104
Apollo,BuildOps,0.39628267,0.6037173
MiniMax,PhotoRoom,0.39624855,0.6037514
Palantir,Owkin,0.39614576,0.60385424
Shift Technology,PhotoRoom,0.39609012,0.60390985
H Company,Cognism,0.39568254,0.6043174
ManoMano,Clay,0.39554542,0.6044546
Sakana AI,Lightspeed,0.39537254,0.6046275
Parloa,Qualified,0.3949654,0.6050346
ContentSquare,Perplexity,0.39490354,0.60509646
ContentSquare,2CRSI,0.39480847,0.6051915
MiniMax,Apollo,0.39480346,0.60519654
Alibaba,Apollo,0.39466238,0.6053376
Hugging Face,Ant Group,0.3942329,0.60576713
Aleph Alpha,Comand AI,0.39418018,0.6058198
5C,PlanRadar,0.39413804,0.60586196
OpenAI,ARM Holdings,0.39395562,0.6060444
Black Forest Labs,ARM Holdings,0.39364046,0.60635954
Applied Intuition,Hugging Face,0.39350152,0.6064985
Physical Intelligence,Perplexity AI,0.39331564,0.6066843
Wayve,Hailo Technologies,0.393314,0.606686
Perplexity AI,Sakana AI,0.39325812,0.6067419
Cohere,Hailo Technologies,0.3931388,0.60686123
Physical Intelligence,Apollo,0.3930663,0.6069337
PhotoRoom,Cognism,0.3930417,0.60695827
UiPath,Oracle,0.39295465,0.60704535
Nscale,AMD,0.39294422,0.6070558
Aleph Alpha,Black Forest Labs,0.39291018,0.6070898
Scale AI,Adobe,0.39252377,0.60747623
Databricks,BuildOps,0.39251572,0.6074843
Scale AI,Harvey,0.39173645,0.60826355
Anthropic,Clay,0.3914113,0.6085887
Cerebras,Aqemia,0.39136654,0.60863346
Mistral AI,H Company,0.3913621,0.6086379
Groq,Shift Technology,0.39130056,0.60869944
Cerebras,Owkin,0.39092895,0.609071
ManoMano,Black Forest AI GmbH,0.39088508,0.6091149
Nscale,Y combinator,0.3907136,0.6092864
5C,PhotoRoom,0.39068636,0.6093136
UiPath,PolyAI,0.39064643,0.60935354
Applied Intuition,Clay,0.39058667,0.6094133
Databricks,Physical Intelligence,0.39033228,0.6096677
1X Technologies,Lightspeed,0.3901128,0.60988724
Oracle,Appen,0.39010134,0.6098987
Nscale,Mistral AI,0.38991627,0.6100837
Celonis,AMD,0.38951653,0.61048347
OpenAI,Nscale,0.38950574,0.61049426
Aleph Alpha,Appen,0.38942626,0.61057377
Cohere,Lightspeed,0.38916355,0.61083645
ManoMano,BuildOps,0.38910148,0.6108985
World Labs,Sakana AI,0.38895983,0.6110402
H Company,Black Forest AI GmbH,0.38889325,0.61110675
Nscale,Black Forest AI GmbH,0.38884923,0.61115074
Mistral AI,AMD,0.3886717,0.6113283
OpenAI,Apollo,0.38862917,0.6113708
Y combinator,Oracle,0.38856608,0.6114339
Wayve,Synthesia,0.3880769,0.6119231
Wayve,Sakana AI,0.38803345,0.61196655
Celonis,2CRSI,0.38792747,0.6120725
Berkshire Hathaway,UiPath,0.3879243,0.6120757
Cohere,2CRSI,0.38791218,0.61208785
AMI - Advanced Machine Intelligence,Exotec,0.38779545,0.61220455
ContentSquare,Indium,0.38776842,0.6122316
Alibaba,5C,0.38774943,0.61225057
Multiverse Computing,AMD,0.3877081,0.61229193
Y combinator,Procore,0.3876101,0.6123899
Celonis,Hailo Technologies,0.3872626,0.6127374
Waymo,Comand AI,0.38703254,0.6129675
Shift Technology,ARM Holdings,0.38680166,0.61319834
World Labs,Appen,0.38669676,0.61330324
Databricks,01.AI,0.38649213,0.61350787
Celonis,Prophesee,0.38624674,0.61375326
01.AI,Aqemia,0.38616946,0.61383057
ContentSquare,Lightspeed,0.38616496,0.61383504
Synthesia,Clay,0.38589567,0.61410433
5C,AMD,0.38580847,0.61419153
Lightspeed,ARM Holdings,0.38577345,0.6142266
2CRSI,Clay,0.38576698,0.614233
Waymo,Shift Technology,0.38564548,0.6143545
Databricks,ContentSquare,0.3855539,0.6144461
Black Forest Labs,Appen,0.38550958,0.6144904
Physical Intelligence,Exotec,0.38536453,0.61463547
Hugging Face,Adobe,0.3853611,0.6146389
Anthropic,Apollo,0.38514772,0.6148523
ARM Holdings,H Company,0.38514316,0.61485684
Databricks,Palantir,0.38499162,0.61500835
RobCo GmbH,Lightspeed,0.3849319,0.6150681
PolyAI,H Company,0.38491192,0.6150881
OpenAI,Aleph Alpha,0.38490257,0.6150974
Hugging Face,Aqemia,0.3846874,0.6153126
Groq,Oracle,0.38457534,0.61542463
RobCo GmbH,Appen,0.38448048,0.6155195
World Labs,Applied Intuition,0.3844684,0.61553156
5C,ManoMano,0.38436487,0.61563516
Scale AI,2CRSI,0.38435286,0.61564714
Groq,Clay,0.38423416,0.6157658
Wayve,AMD,0.38395634,0.6160437
Exotec,Appen,0.38388827,0.61611176
Cerebras,BenevolentAI,0.38377994,0.61622006
ManoMano,Aqemia,0.38356692,0.6164331
Sidetrade,Black Forest AI GmbH,0.38314956,0.61685044
ManoMano,Hailo Technologies,0.3829773,0.6170227
ARM Holdings,Black Forest AI GmbH,0.38297606,0.61702394
Cerebras,Exotec,0.3827478,0.61725223
Databricks,Groq,0.3826525,0.6173475
Multiverse Computing,Hugging Face,0.38257852,0.6174215
Applied Intuition,1X Technologies,0.38250697,0.61749303
Prophesee,Cambricon Technologies,0.38228267,0.6177173
Nscale,Cognism,0.3822495,0.6177505
ManoMano,Black Forest Labs,0.3821164,0.61788356
OpenAI,Oracle,0.3820455,0.6179545
Nscale,1X Technologies,0.3818453,0.6181547
DeepL,Comand AI,0.3818015,0.6181985
OpenAI,DeepL,0.38179028,0.6182097
Celonis,Owkin,0.38169685,0.6183032
Exotec,Hugging Face,0.3815705,0.61842954
Perplexity AI,Black Forest AI GmbH,0.3815679,0.6184321
PhotoRoom,BuildOps,0.38148427,0.61851573
Berkshire Hathaway,Y combinator,0.38138938,0.6186106
Perplexity,1X Technologies,0.38132823,0.6186718
Alibaba,Scale AI,0.38130954,0.6186905
ARM Holdings,Ant Group,0.3812959,0.6187041
Aleph Alpha,Aqemia,0.38125074,0.61874926
PhotoRoom,Owkin,0.38114485,0.6188551
OpenAI,AMD,0.38096753,0.6190325
Groq,Y combinator,0.380713,0.619287
Celonis,BenevolentAI,0.38062325,0.6193768
Cohere,Aleph Alpha,0.38061383,0.6193862
Cohere,Perplexity,0.38030392,0.6196961
Cohere,Sakana AI,0.37990573,0.6200943
ByteDance,ARM Holdings,0.3797812,0.6202188
Cerebras,RobCo GmbH,0.3797377,0.62026227
Perplexity AI,Owkin,0.37968326,0.62031674
ManoMano,Sakana AI,0.3796489,0.6203511
AMI - Advanced Machine Intelligence,RobCo GmbH,0.37964204,0.620358
Wayve,MiniMax,0.3795039,0.6204961
Adobe,BuildOps,0.37950018,0.62049985
OpenAI,RobCo GmbH,0.37932482,0.6206752
BenevolentAI,Black Forest AI GmbH,0.379248,0.620752
UiPath,Exotec,0.37913302,0.620867
Groq,Procore,0.37904745,0.62095255
Sidetrade,Cognism,0.3790031,0.6209969
Parloa,Synthesia,0.3789763,0.6210237
Sidetrade,Exotec,0.3789049,0.62109506
Lightspeed,Adobe,0.37885806,0.6211419
Alibaba,Anthropic,0.37864652,0.6213535
ContentSquare,Adobe,0.37864408,0.6213559
Wayve,Black Forest Labs,0.37864196,0.62135804
UiPath,Perplexity AI,0.3785176,0.6214824
Multiverse Computing,Black Forest AI GmbH,0.3784143,0.6215857
Celonis,Aqemia,0.37841022,0.6215898
Scale AI,Ant Group,0.3783298,0.6216702
2CRSI,Sidetrade,0.37825075,0.6217493
Indium,Clay,0.37822548,0.62177455
Multiverse Computing,1X Technologies,0.37811297,0.621887
RobCo GmbH,Comand AI,0.3780265,0.6219735
Anthropic,BuildOps,0.3777145,0.6222855
Wayve,5C,0.3776347,0.6223653
UiPath,Shift Technology,0.37747267,0.62252736
Perplexity,Black Forest AI GmbH,0.37729782,0.6227022
Cohere,Appen,0.37717545,0.62282455
Harvey,H Company,0.37714398,0.622856
Waymo,Aleph Alpha,0.37707028,0.6229297
Celonis,ManoMano,0.37702116,0.6229788
Applied Intuition,Sidetrade,0.37690118,0.62309885
Adobe,Appen,0.37622088,0.6237791
Indium,Adobe,0.3758622,0.62413776
Multiverse Computing,01.AI,0.37568617,0.62431383
Databricks,Procore,0.37549788,0.6245021
BenevolentAI,Black Forest Labs,0.37531358,0.6246864
Scale AI,Cognism,0.37529838,0.6247016
Sakana AI,Clay,0.3751678,0.6248322
BuildOps,Black Forest AI GmbH,0.37437487,0.62562513
Celonis,5C,0.37426856,0.62573147
Sidetrade,Xelix,0.37417927,0.62582076
Palantir,Comand AI,0.37416562,0.62583435
Anthropic,PolyAI,0.3741004,0.6258996
5C,Apollo,0.37406868,0.6259313
Sakana AI,SiPearl,0.37404513,0.62595487
Perplexity,Owkin,0.3735112,0.6264888
Wayve,Physical Intelligence,0.37348506,0.6265149
Sakana AI,Owkin,0.37341934,0.62658066
Databricks,Hailo Technologies,0.37320703,0.62679297
RobCo GmbH,Black Forest AI GmbH,0.37318027,0.62681973
Synthesia,Aleph Alpha,0.37315676,0.6268432
ByteDance,ContentSquare,0.372972,0.627028
World Labs,DeepL,0.372959,0.627041
Celonis,RobCo GmbH,0.37269863,0.62730134
Wayve,DeepL,0.3726215,0.62737846
ManoMano,Adobe,0.37253112,0.6274689
Databricks,Comand AI,0.3721403,0.6278597
UiPath,Owkin,0.3718891,0.6281109
PhotoRoom,Clay,0.37185553,0.6281445
Waymo,World Labs,0.37182042,0.62817955
World Labs,Hailo Technologies,0.37177262,0.62822735
Perplexity AI,Clay,0.37148783,0.62851214
Databricks,Cerebras,0.37122753,0.6287725
Nscale,MiniMax,0.37121734,0.62878263
1X Technologies,ARM Holdings,0.3712057,0.6287943
Celonis,PolyAI,0.3711304,0.6288696
World Labs,Apollo,0.37092528,0.6290747
Celonis,Parloa,0.3707645,0.6292355
Sidetrade,SiPearl,0.37064546,0.62935454
Shift Technology,DentalMonitoring,0.37047777,0.6295222
UiPath,Einride,0.37029603,0.629704
UiPath,2CRSI,0.37006798,0.62993205
BenevolentAI,Oracle,0.37002137,0.62997866
Clay,PlanRadar,0.36999154,0.63000846
Parloa,Exotec,0.36998928,0.6300107
Physical Intelligence,Cambricon Technologies,0.36977482,0.6302252
Cerebras,PolyAI,0.3697352,0.63026476
ByteDance,Multiverse Computing,0.36953482,0.63046515
ContentSquare,Clay,0.3694871,0.6305129
Perplexity AI,Sidetrade,0.3693923,0.6306077
Sidetrade,Tessl,0.36908716,0.63091284
Y combinator,Prophesee,0.36882958,0.6311704
RobCo GmbH,ARM Holdings,0.368512,0.63148797
MiniMax,RobCo GmbH,0.36843428,0.6315657
Black Forest Labs,Palantir,0.36834073,0.63165927
Harvey,BenevolentAI,0.36821765,0.63178235
2CRSI,Hugging Face,0.36813876,0.6318612
Procore,Clay,0.3680834,0.63191664
Databricks,Sakana AI,0.36798579,0.6320142
Harvey,Applied Intuition,0.36798126,0.63201874
Hugging Face,Cognism,0.36792907,0.6320709
Nscale,PhotoRoom,0.36760125,0.6323987
Nscale,Tessl,0.36759874,0.6324012
Wayve,Prophesee,0.3675328,0.6324672
AMD,Prophesee,0.3674413,0.6325587
MiniMax,Shift Technology,0.36743796,0.63256204
ManoMano,ARM Holdings,0.3673062,0.63269377
Perplexity AI,Indium,0.36677736,0.63322264
Cohere,Perplexity AI,0.36654112,0.63345885
UiPath,Applied Intuition,0.36645693,0.6335431
Waymo,Indium,0.36634478,0.6336552
World Labs,H Company,0.3663384,0.6336616
Anthropic,Procore,0.36633098,0.633669
Databricks,Nscale,0.3663205,0.6336795
Oracle,Black Forest AI GmbH,0.36629432,0.6337057
OpenAI,Ant Group,0.36616442,0.63383555
OpenAI,Shift Technology,0.36603066,0.6339693
MiniMax,Perplexity,0.36601612,0.63398385
AMI - Advanced Machine Intelligence,BenevolentAI,0.36598426,0.63401574
Nscale,Nabla,0.36589786,0.6341021
Hugging Face,PlanRadar,0.3654546,0.6345454
UiPath,Sidetrade,0.36544675,0.63455325
Cerebras,Ant Group,0.36539224,0.6346078
2CRSI,Exotec,0.36532837,0.6346716
ByteDance,AMD,0.36515918,0.63484085
Groq,Indium,0.36506605,0.63493395
01.AI,Sidetrade,0.3646089,0.6353911
ManoMano,Qualified,0.36456636,0.6354337
1X Technologies,Apollo,0.36432126,0.63567877
ManoMano,Sidetrade,0.3642349,0.6357651
ContentSquare,Perplexity AI,0.36403748,0.6359625
Procore,Apollo,0.36403507,0.63596493
Wayve,Perplexity,0.36402395,0.6359761
PolyAI,Sakana AI,0.36370245,0.6362976
Nscale,SiPearl,0.36357725,0.63642275
Synthesia,Owkin,0.3633809,0.6366191
Celonis,Comand AI,0.3633403,0.63665974
1X Technologies,AMD,0.36308318,0.6369168
Wayve,PhotoRoom,0.36301333,0.6369867
Groq,BuildOps,0.36299375,0.6370063
01.AI,Palantir,0.36280087,0.63719916
Sakana AI,Palantir,0.3627089,0.6372911
Anthropic,PlanRadar,0.3625968,0.6374032
Multiverse Computing,Hailo Technologies,0.3622678,0.6377322
Einride,Hugging Face,0.36225685,0.6377431
Waymo,Hugging Face,0.36198425,0.63801575
Sakana AI,Tessl,0.36189964,0.6381004
Sakana AI,Xelix,0.36162922,0.63837075
RobCo GmbH,Apollo,0.36158738,0.6384126
Lightspeed,Cognism,0.36153248,0.63846755
Waymo,Sidetrade,0.3615165,0.6384835
Wayve,Celonis,0.36151272,0.6384873
UiPath,Apollo,0.36151138,0.63848865
Cohere,Adobe,0.36142445,0.63857555
2CRSI,PlanRadar,0.36141226,0.6385877
Anthropic,Tessl,0.36118647,0.6388135
Palantir,ARM Holdings,0.36101526,0.63898474
Appen,Qualified,0.36087254,0.6391275
Nscale,Apollo,0.36072162,0.6392784
Sidetrade,Nabla,0.36060905,0.63939095
Oracle,BuildOps,0.36032954,0.6396705
Perplexity AI,DentalMonitoring,0.36028153,0.6397185
01.AI,Clay,0.36026424,0.63973576
ManoMano,Y combinator,0.3601188,0.6398812
Parloa,H Company,0.36003855,0.6399615
Aleph Alpha,Indium,0.35995004,0.64004993
Einride,Hailo Technologies,0.35992858,0.6400714
Anthropic,SiPearl,0.3599192,0.6400808
Waymo,Exotec,0.35978416,0.6402159
Mistral AI,PhotoRoom,0.35975066,0.6402494
Applied Intuition,Synthesia,0.35971084,0.6402892
BenevolentAI,Apollo,0.35962752,0.6403725
Black Forest Labs,Oracle,0.35948727,0.6405127
Anthropic,DeepL,0.35947803,0.640522
ByteDance,OpenAI,0.35946813,0.6405319
2CRSI,Procore,0.3593605,0.64063954
Celonis,Synthesia,0.359325,0.640675
BuildOps,Comand AI,0.3592053,0.6407947
Black Forest Labs,Apollo,0.3592051,0.6407949
MiniMax,ARM Holdings,0.35899356,0.64100647
Physical Intelligence,Harvey,0.35882857,0.64117146
5C,Shift Technology,0.35843983,0.6415602
Databricks,Y combinator,0.35833782,0.6416622
Wayve,PolyAI,0.35802126,0.64197874
Cerebras,Perplexity,0.35791934,0.64208066
1X Technologies,PhotoRoom,0.35787946,0.64212054
Hailo Technologies,Prophesee,0.35780543,0.64219457
Y combinator,Owkin,0.35765982,0.6423402
