name,x_comp_aligned,y_comp_aligned,x_sem_aligned,y_sem_aligned,residual_distance
ManoMano,0.2179663160905122,-0.15042601110732765,-0.0005225954170053275,0.022644249215120538,0.2787305499219987
Aqemia,0.25332538682502115,-0.02495373271489409,-0.017996413826628293,-0.025376522597627894,0.2713221300597103
BenevolentAI,0.14289844744275423,-0.20016218666957886,-0.025024404234366807,-0.00646327245804192,0.25635396131541394
Prophesee,-0.07936314272013589,0.20103851468973433,-0.02098957553709362,-0.019973841360916317,0.2285911959650518
Ant Group,-0.1656969438476652,0.1269766098858072,-0.006922260213234908,-0.03564318020801022,0.22727647545087165
Databricks,0.15739127909077708,0.1849597132251406,0.028743418979767735,0.01447576872763826,0.2135767947192983
Comand AI,-0.07147653516664602,0.2111717146648958,0.010605840479492144,0.015610665736772366,0.21208875559440116
Y combinator,0.01925084681871973,-0.24071182655138643,0.018339418153462333,-0.030315249899357723,0.21039855077710218
Scale AI,-0.20263635769588137,0.024118713518730406,0.006147501778589292,0.010839178490328158,0.20920575046500534
Appen,-0.1136870682941153,0.16863016943684322,0.016980546651959073,0.00999162284068498,0.20552424202958888
Harvey,0.073279287548468,0.23126059243034328,0.039483968902079204,0.029515163859141318,0.20455645067264172
UiPath,0.2079292513123244,-0.07199312838394847,0.016869284697382244,-0.004021707715523886,0.20279059364424856
Celonis,-0.04305159946735275,-0.22040288290585447,-0.0044818926083036534,-0.022169688774805244,0.2019505423181409
Owkin,-0.15708276119693287,-0.12966037752806928,-0.019608095612733484,-0.015089942478665278,0.17895716879995938
Groq,-0.14586263486026882,0.11065525056899782,-0.0023734950126553488,0.010526454085428254,0.17497116659454515
PolyAI,0.12575665766048566,0.019570694370438062,-0.023478424360187947,0.03211812389479637,0.1497616362537012
Palantir,-0.0947628692579434,0.07491139903439455,0.0070236666287548715,-0.02999394774729301,0.1461698692316588
H Company,0.003830160729094639,-0.12531502965400615,-0.011747686233201734,0.01326639154975214,0.13945422051280554
Synthesia,-0.016259713402059086,0.1510113670521268,-0.0173128668228408,0.015969473375944048,0.13504600023613123
Aleph Alpha,0.0038301607172367197,-0.12531502965231703,0.034242727664467856,0.0034330558222091,0.13229132149039746
AMD,-0.0861085853075125,-0.0857848430081189,0.020770065735419393,-0.02381684605232919,0.12354383309364159
Alibaba,0.013876210069670184,0.13314365245331344,0.042760257468993375,0.014092574234656081,0.12250488732777652
YouTube,0.008796914374497563,0.10262135156211821,-0.05865671765545416,0.014104830707702885,0.11128866491337863
ByteDance,0.04937640643087685,0.049930353620906844,-0.035926154731253136,-0.015879390318426185,0.10773787327666863
Hugging Face,-0.08946006697451014,0.037727274870346876,0.01236964499279612,0.004543714407894717,0.10710013503404081
Qualcomm,-0.1052293723529656,-0.10067034619954912,-0.05027969660525825,-0.01790529173121294,0.09934546343907623
Cohere,-0.009412252369105317,-0.06338384493269608,0.01377662007108181,0.0275912593521397,0.09388393581803021
World Labs,0.083448751993493,-0.023803009378945465,-0.006327281667818545,-0.005641462358631178,0.09159463963643304
Adobe,-0.1222279046805559,-0.021439361540352822,-0.04035632449973964,0.01855544425143618,0.0911182755084113
Sakana AI,0.05473385403057326,-0.08057128427952587,0.003520678278251767,-0.005435406688163037,0.09092958524079184
Wayve,0.05726704663884017,-0.042798528377891436,0.019574469698613404,0.019740121051432833,0.07301926477881597
Oracle,-0.018871985445692924,0.02170446064233489,0.011661884243970527,-0.030714282298952032,0.06066334815825834
Mistral AI,0.06613214372596257,0.007291290606656311,0.009312490890695295,-0.009383504098563512,0.05921589082992439
Cerebras,0.01127445553845007,-0.07396091364609066,-0.0035154408495706967,-0.017795842687998702,0.05807974027917044
OpenAI,-0.023947777702237428,-0.04062458995481827,-0.006503228216828152,0.003786181462931409,0.04771403278563346
Black Forest Labs,0.03273996370171209,-0.05042023273935189,0.004008286871249218,-0.016568812997807287,0.04440076431784021
DeepL,0.0079726981318416,-0.0019235363532994383,0.04393174901215411,0.022918007117828917,0.04370532716089497
Anthropic,-0.018746669868525037,-0.01933709944702569,0.00636634719659191,-0.0018819201666317098,0.03058344175895758
Parloa,-0.03892652804802783,0.07308200185816507,-0.032447711426844585,0.044422431252586436,0.029382750928173273
ARM Holdings,0.011734529786822061,-0.03614732946624559,0.017981397135247396,-0.014074598797467407,0.022939677217546972
