name,Berkshire Hathaway,ByteDance,OpenAI,Alibaba,Waymo,Databricks,Scale AI,Anthropic,Cerebras,Nscale,Wayve,Physical Intelligence,UiPath,Celonis,YouTube,Cohere,MiniMax,Groq,ContentSquare,World Labs,Harvey,Perplexity,Multiverse Computing,AMI - Advanced Machine Intelligence,Babylon,Applied Intuition,5C,1X Technologies,AMD,Glean,PolyAI,ManoMano,Acronis,Einride,2CRSI,Y combinator,Parloa,BenevolentAI,Synthesia,Perplexity AI,01.AI,Aleph Alpha,Sidetrade,Shift Technology,Hailo Technologies,Black Forest Labs,RobCo GmbH,PhotoRoom,Exotec,DeepL,Procore,Hugging Face,Sakana AI,Gousto,Text,Fal,Owkin,Indium,Lightspeed,ARM Holdings,Adobe,H Company,Apollo,BuildOps,Clay,DentalMonitoring,Black Forest AI GmbH,Aqemia,Qualcomm,Appen,Qualified,Xelix,SiPearl,Cognism,Prophesee,Comand AI,Cambricon Technologies,Tessl,Nabla,PlanRadar,Ant Group
Wayve,0.81627524,0.64305186,0.50001085,0.73025703,0.42042738,0.6657029,0.44918054,0.49953043,0.5929102,0.65704584,0.0,0.6265149,0.5553583,0.6384873,0.95698124,0.6001506,0.6204961,0.56893027,0.7265342,0.5755979,0.7042155,0.6359761,0.7516493,0.56386995,0.77748495,0.5983417,0.6223653,0.65032756,0.6160437,0.9828407,0.64197874,0.5447577,0.71683526,0.5665242,0.6725846,0.69915694,0.75698805,0.58168614,0.6119231,0.6878326,0.56365925,0.56194574,0.51835406,0.5905485,0.606686,0.5288491,0.6480435,0.6369867,0.59709203,0.62737846,0.76005197,0.4359994,0.61196655,0.58374476,0.96407634,0.74117815,0.58585787,0.70820177,0.56713736,0.761856,0.6757618,0.5941291,0.7047694,0.7188465,0.7066678,0.8197701,0.59915197,0.67014587,0.9510675,0.55181515,0.84331536,0.724157,0.728896,0.74968636,0.6324672,0.52541614,0.7004838,0.7261519,0.72324526,0.6716035,0.64266485
Physical Intelligence,0.85528797,0.6632972,0.46913248,0.78323674,0.6954982,0.6096677,0.43632293,0.47226995,0.46321505,0.5200565,0.6265149,0.0,0.55160034,0.59245193,0.8408451,0.6988438,0.57420737,0.48127878,0.72329175,0.40963006,0.64117146,0.56768644,0.5059041,0.4317621,0.9685816,0.5971457,0.536458,0.5097251,0.5495255,0.921624,0.5337244,0.5364688,0.809764,0.74960136,0.59428895,0.57355285,0.7804966,0.53126717,0.52348864,0.6066843,0.43598622,0.70965886,0.7347088,0.57532537,0.49998564,0.39062345,0.51893103,0.48815924,0.61463547,0.7373859,0.7467766,0.53046834,0.49808973,0.9973361,0.9759155,0.85500443,0.49558187,0.7397328,0.5658396,0.6331842,0.71742344,0.5158597,0.6069337,0.69707537,0.58433557,0.7932793,0.54524755,0.53713036,0.8080567,0.58315146,0.8250971,0.6971204,0.6783328,0.7679116,0.4379961,0.5219042,0.6302252,0.6778972,0.68717736,0.73776305,0.7006388
UiPath,0.6120757,0.6033217,0.49814695,0.7376876,0.7474966,0.7068435,0.41704792,0.48778403,0.5735315,0.64511317,0.5553583,0.55160034,0.0,0.5570056,0.92428994,0.5972575,0.59592974,0.51544726,0.78010166,0.67327905,0.7507714,0.59836584,0.7051161,0.5299549,0.7520243,0.6335431,0.487643,0.55077255,0.52343476,0.91800195,0.60935354,0.57630044,0.5526167,0.629704,0.62993205,0.5525671,0.7908962,0.49287277,0.52094126,0.6214824,0.44042212,0.64507705,0.63455325,0.62252736,0.507386,0.49295443,0.67336446,0.71407855,0.62086695,0.813089,0.6624859,0.39603192,0.40025043,0.85901356,0.9315816,0.7970811,0.6281109,0.7752921,0.64469874,0.6109732,0.6528559,0.52412814,0.63848865,0.6517992,0.59946513,0.8212906,0.57980716,0.6748453,0.9310901,0.36164308,0.78291696,0.5356389,0.53050554,0.77905315,0.67935234,0.44687945,0.71075875,0.53611845,0.5318877,0.7003714,0.5688678
Celonis,0.75108063,0.68817925,0.5759338,0.7317004,0.79726684,0.68264186,0.5630111,0.5347999,0.32574826,0.6656817,0.6384873,0.59245193,0.5570056,0.0,0.94372416,0.6533694,0.73860925,0.5460254,0.75142896,0.71833575,0.71784616,0.72888553,0.67025495,0.4327845,1.0058832,0.80116975,0.62573147,0.6470001,0.61048347,1.0153418,0.6288696,0.6229788,0.5946939,0.7427104,0.6120725,0.67203987,0.6292355,0.6193768,0.640675,0.7771959,0.686826,0.68086296,0.7435421,0.7784759,0.6127374,0.61257493,0.62730134,0.6738715,0.53237927,0.7902339,0.6670245,0.5319319,0.5751221,0.9058709,0.867564,0.7562206,0.6183032,0.72056895,0.6881473,0.72216237,0.7260492,0.54813063,0.733541,0.53796935,0.7138628,0.80632854,0.5213752,0.6215898,0.76411057,0.64375985,0.69361,0.7790859,0.78112507,0.70191056,0.61375326,0.63665974,0.6964166,0.7863072,0.7730376,0.7076465,0.7465273
YouTube,1.0025089,0.71656203,0.75951886,0.69645166,0.9587721,0.744944,0.8494872,0.74140406,0.95005244,0.87360644,0.95698124,0.8408451,0.92428994,0.94372416,0.0,0.7789126,0.76016414,0.7496971,0.7325441,0.8151373,0.9091112,0.86209476,0.92637944,0.95633775,0.8767393,0.9319767,0.81090945,0.8779958,0.99869806,0.83591914,0.8645757,0.971029,1.0024724,1.0331091,0.8937336,0.8828955,0.8761104,0.8412533,0.66432816,0.8609559,0.7968545,0.83450943,0.87694794,0.88975495,0.8049215,0.7612436,0.87303185,0.73720837,0.86084557,0.8381746,0.9225606,0.79925025,0.87440753,0.8638687,1.040773,0.9783043,0.86580217,0.9876222,0.70302093,0.88313645,0.67177427,0.81913865,0.7447297,0.89082754,0.77609056,0.9086777,0.9088064,0.959212,0.9359401,0.89371943,0.8237473,0.9574271,0.9609372,0.83991945,0.8722531,0.932498,0.9470281,0.9643582,0.9685644,0.91411304,0.8178147
Cohere,0.8341482,0.5434394,0.6024577,0.7286992,0.7037795,0.5108138,0.5938568,0.55976504,0.6955225,0.70018935,0.6001506,0.6988438,0.5972575,0.6533694,0.7789126,0.0,0.6552276,0.6023562,0.49116087,0.64294666,0.8439403,0.6196961,0.7721863,0.67548555,0.8796629,0.7068925,0.5511212,0.66514444,0.7228199,0.9341601,0.6623884,0.6731478,0.8425044,0.717003,0.61208785,0.73199344,0.71233916,0.684777,0.561028,0.63345885,0.55599964,0.6193862,0.7283477,0.7846422,0.60686123,0.5869414,0.71583617,0.68185174,0.72450733,0.67554235,0.6749513,0.5443709,0.6200943,0.77721745,0.8611496,0.79011923,0.6557652,0.66931915,0.61083645,0.7081348,0.63857555,0.67526084,0.6739042,0.6462767,0.5874988,0.84975815,0.65065926,0.7492827,0.84913766,0.62282455,0.7341665,0.78911346,0.78831136,0.7511672,0.7009978,0.5395433,0.71787524,0.7943145,0.7818365,0.7212256,0.74486583
MiniMax,0.8313509,0.6958708,0.5606557,0.5955812,0.7224158,0.65771914,0.50037396,0.5307015,0.66100603,0.62878263,0.6204961,0.57420737,0.59592974,0.73860925,0.76016414,0.6552276,0.0,0.55584824,0.829113,0.54220045,0.7088332,0.63398385,0.7550062,0.6776517,0.8499112,0.64660335,0.5622484,0.47362465,0.6969408,0.916471,0.5919032,0.5838264,0.81690305,0.73005724,0.7833923,0.7988155,0.6819789,0.581273,0.4730956,0.6671215,0.3881662,0.5536183,0.67100734,0.63256204,0.18367374,0.45916682,0.6315657,0.6037514,0.65904146,0.65315044,0.8014126,0.5398166,0.4833048,0.83008933,0.9340162,0.8177543,0.6911762,0.8219801,0.49280524,0.7023611,0.6971325,0.48345852,0.60519654,0.71147704,0.7166829,0.7957166,0.56762266,0.72546554,0.89818114,0.56802493,0.79622567,0.7447792,0.7389823,0.70261204,0.6697842,0.43623024,0.73281544,0.74696773,0.74741983,0.7563159,0.6997828
Groq,0.88671964,0.65828574,0.5073153,0.57247,0.683664,0.6173475,0.4108339,0.5273335,0.45458084,0.53147495,0.56893027,0.48127878,0.51544726,0.5460254,0.7496971,0.6023562,0.55584824,0.0,0.67982453,0.5733438,0.5940317,0.58968073,0.6455131,0.53228873,0.910188,0.5859978,0.5151326,0.5742713,0.5860752,0.830307,0.6546543,0.5816685,0.6848893,0.762061,0.5794529,0.619287,0.59264565,0.50087297,0.52044463,0.58854645,0.5293783,0.5688412,0.5901922,0.60869944,0.50315666,0.4746775,0.6595255,0.6543032,0.5752651,0.6611721,0.62095255,0.41422153,0.43295926,0.74876964,0.92027044,0.6781358,0.5233397,0.63493395,0.5593132,0.6476972,0.6959485,0.539428,0.53293335,0.6370063,0.6157658,0.80931777,0.5307636,0.59857595,0.77376014,0.49393833,0.746112,0.7143408,0.7105987,0.6819521,0.64339185,0.4534794,0.6519606,0.72648233,0.7092458,0.72116613,0.5646415
ContentSquare,0.96037245,0.627028,0.72697234,0.75927556,0.70475376,0.6144461,0.7210504,0.7159209,0.8147604,0.7538835,0.7265342,0.72329175,0.78010166,0.75142896,0.7325441,0.49116087,0.829113,0.67982453,0.0,0.7301727,0.923424,0.60509646,0.833539,0.73956746,0.94601,0.7144672,0.77727294,0.7354119,0.97905356,1.0587537,0.71443677,0.69073826,0.830731,0.88517904,0.6051915,0.8308167,0.7412449,0.70726585,0.67450774,0.6359625,0.80486405,0.878548,0.6897887,0.81640786,0.8634101,0.6859435,0.78778684,0.6477662,0.673193,0.78537625,0.7448852,0.70452166,0.87450516,0.7173587,0.8529115,0.8365362,0.6434362,0.6122316,0.61383504,0.87506294,0.6213559,0.79369164,0.6752187,0.69306767,0.6305129,0.8046789,0.7804341,0.6995239,0.8973676,0.70091605,0.7464337,0.87977153,0.87867653,0.7469418,0.75320256,0.69510436,0.8832572,0.87128437,0.8704454,0.7118491,0.8025939
World Labs,0.925703,0.7751814,0.49707752,0.81120443,0.62817955,0.59037054,0.39851964,0.46973377,0.56939757,0.4552598,0.5755979,0.40963006,0.67327905,0.71833575,0.8151373,0.64294666,0.54220045,0.5733438,0.7301727,0.0,0.6686485,0.603575,0.5441597,0.36382073,0.97059613,0.61553156,0.5742134,0.6444529,0.68072176,0.95449007,0.6649635,0.41496545,0.8376792,0.7614631,0.7200715,0.5965263,0.73185724,0.7058836,0.60348964,0.58971167,0.55811703,0.46308434,0.6923802,0.69005525,0.62822735,0.3244685,0.64334315,0.55654114,0.7351481,0.627041,0.75195813,0.38807452,0.6110402,0.93665165,0.83457863,0.82341945,0.42210174,0.6596978,0.5792861,0.6954849,0.69485784,0.6336616,0.6290747,0.7753079,0.68863183,0.70475197,0.5284356,0.51483953,0.7481055,0.61330324,0.7820673,0.5932326,0.5857786,0.743868,0.4139974,0.5190004,0.6630649,0.5809058,0.58898616,0.7504853,0.7664237
