actor,x,y,score,log_score,ranking_score,sector
Owkin,22.377863,3.5211794,11.0,1.0791812460476249,1000.0,AI model
Palantir,-22.101189,12.799799,6.0,0.8450980400142568,318020.0,Defence
Pasqal,22.890085,-8.200424,6.0,0.8450980400142568,2000.0,Quantic
Perplexity,7.06969,-20.849844,5.0,0.7781512503836436,20000.0,AI model
PharmAI,23.108643,5.0686445,3.0,0.6020599913279624,5.0,Biotech
PhotoRoom,-4.590989,-28.081984,9.0,1.0,500.0,Media & Entertainment
Physical Intelligence,15.085494,22.72549,10.0,1.0413926851582251,11000.0,AI model
PolyAI,2.5471044,10.534053,6.0,0.8450980400142568,750.0,AI model
Pony AI,6.4241304,25.082355,6.0,0.8450980400142568,3400.0,Transport & Mobility
Presight AI,-23.785877,18.086113,6.0,0.8450980400142568,5520.0,Energy & Utilities
Prophesee,-16.754944,5.876401,9.0,1.0,130.0,Computer Vision
Qualcomm,-4.5594378,18.943542,8.0,0.9542425094393249,172240.0,Hardware
Quantistry,26.008392,-9.835813,3.0,0.6020599913279624,10.0,R&D
Recursion Pharmaceuticals,22.07158,1.955322,7.0,0.9030899869919435,3005.0,Biotech
Recursive Superintelligence,9.699078,-23.076,9.0,1.0,4650.0,AI model
Runway,0.83440447,-26.044624,9.0,1.0,5300.0,Media & Entertainment
SPACE42,-25.959229,14.576406,4.0,0.6989700043360189,2130.0,Data
Sakana AI,10.473132,-22.119505,13.0,1.146128035678238,2700.0,AI model
Salesforce,-1.6479514,4.0775914,4.0,0.6989700043360189,180000.0,Professional Services
Samsung Electronics,-8.851823,-8.985436,9.0,1.0,1000300.0,Hardware
Scale AI,-23.221807,-14.098269,13.0,1.146128035678238,29000.0,Data
SentinelOne,3.3434567,0.030724935,5.0,0.7781512503836436,7120.0,Cybersécurité
Shopify,-6.2882395,1.7370296,7.0,0.9030899869919435,160000.0,Retail & E-commerce
Sierra,4.9615536,11.621197,6.0,0.8450980400142568,15800.0,Sales & Marketing
Snowflake,-6.40719,4.679235,3.0,0.6020599913279624,112000.0,Datalake
SoundHound AI,1.158742,10.449764,13.0,1.146128035678238,2850.0,AI model
SpaceX,-2.7945666,11.841306,8.0,0.9542425094393249,1480000.0,Cloud Provider
Stability AI,0.3171054,-19.838394,3.0,0.6020599913279624,1000.0,Unknown
Suno AI,13.257294,-12.447721,7.0,0.9030899869919435,5400.0,AI model
Synthesia,-3.4850087,-21.305346,5.0,0.7781512503836436,4000.0,AI model
TSMC,-5.0465345,20.318851,3.0,0.6020599913279624,2170000.0,Hardware
Teraki,-22.625206,-10.0111885,8.0,0.9542425094393249,16.0,Transport & Mobility
