name,competitor,count
Nvidia,AMD,1
Nvidia,Intel,1
Nvidia,Google,1
Nvidia,Broadcom,1
Nvidia,Qualcomm,1
Google,Microsoft,1
Google,OpenAI,1
Google,Perplexity AI,1
Google,Amazon,1
Google,ByteDance,1
Google,Netflix,1
Google,Apple,1
Google,Tesla,1
Alphabet Inc.,Microsoft,1
Alphabet Inc.,Amazon,1
Alphabet Inc.,Apple,1
Alphabet Inc.,Meta,1
Alphabet Inc.,Oracle,1
Alphabet Inc.,OpenAI,1
Alphabet Inc.,Anthropic,1
Alphabet Inc.,ByteDance,1
Alphabet Inc.,Tesla,1
Alphabet Inc.,Baidu,1
Apple,Google,1
Apple,Microsoft,1
Apple,Samsung,1
Apple,Amazon,1
Apple,Xiaomi,1
Apple,Huawei,1
Apple,Oppo,1
Apple,Vivo,1
Apple,Lenovo,1
Apple,Hp,1
Apple,Dell,1
Apple,Spotify,1
Apple,Netflix,1
Apple,Disney,1
Apple,Meta,1
Apple,OpenAI,1
Microsoft,Amazon,1
Microsoft,Google,1
Microsoft,Meta,1
Microsoft,Apple,1
Microsoft,Sony,1
Microsoft,Oracle,1
Amazon,Walmart,1
Amazon,Temu,1
Amazon,Shein,1
Amazon,Alibaba,1
Amazon,Microsoft,1
Amazon,Google,1
Amazon,Netflix,1
Amazon,Disney,1
Amazon,Apple,1
Amazon,Meta,1
Broadcom,Nvidia,1
Broadcom,Qualcomm,1
Broadcom,Intel,1
Broadcom,Marvell Technology,1
Meta,Google,1
Meta,ByteDance,1
Meta,Snap,1
Meta,X,1
Meta,Apple,1
Meta,Snapchat,1
Meta,Amazon,1
Meta,Sony,1
Meta,OpenAI,1
Meta,Anthropic,1
Meta,Telegram,1
Meta,Tencent,1
SpaceX,Boeing,1
SpaceX,Arianegroup,1
SpaceX,AWS,1
SpaceX,Microsoft,1
SpaceX,Google,1
SpaceX,CoreWeave,1
SpaceX,Lambda Labs,1
SpaceX,OpenAI,1
AWS,Microsoft,1
AWS,Google,1
AWS,Alibaba,1
AWS,IBM,1
AWS,Oracle,1
Tesla,Byd,1
Tesla,Volkswagen Group,1
Tesla,Bmw,1
Tesla,Hyundai-Kia,1
Tesla,Toyta,1
Tesla,Rivian,1
Tesla,Lucid Motors,1
Tesla,Nio,1
Tesla,Xiaomi,1
Tesla,Google,1
Samsung Electronics,Apple,1
Samsung Electronics,Xiaimi,1
Samsung Electronics,Oppo,1
Samsung Electronics,SK hynix,1
Samsung Electronics,Micron Technology,1
Samsung Electronics,Tsmc,1
Samsung Electronics,Lg Lectronics,1
