name,x_comp_aligned,y_comp_aligned,x_sem_aligned,y_sem_aligned,residual_distance
Comand AI,0.05233129052882475,-0.24131848515476997,-0.005815221814116886,0.008035712642487813,0.25604400570363256
Scale AI,0.12934602872284964,-0.21407564370433188,0.0021553716782918664,0.007878714858646782,0.25581477776807504
BenevolentAI,0.007590987485068465,0.23438062995773865,-0.009269143942204378,-0.014337997061595859,0.24928942909423124
Aqemia,0.1984791623328071,0.13229261742369303,-0.01590474639010729,0.017036096629071844,0.2434019841845909
ManoMano,-0.14458314626278415,-0.17655865854945807,0.0014093048787645352,0.014529375981368137,0.2404754306185389
Harvey,0.10403243474344627,-0.21909882321602817,-0.020972982823276854,-0.014551427693719391,0.23972065291916472
Appen,0.24225177638619608,-0.0010209497257655485,0.0043885977345180715,0.01099106496509875,0.23816628698288433
Celonis,0.13894642926968867,-0.20578052727841806,0.006109590250793855,-0.01680383717333813,0.23099310639844467
Parloa,-0.13958982559279298,0.16597654529107445,-0.016748800321627018,-0.020550814458981704,0.22334362185878087
Y combinator,-0.11887509334445323,0.19105922137282702,0.011789319375348665,0.02498366589102989,0.2113155907168191
Alibaba,-0.17404699631039053,-0.005471791755400941,0.031226988071892534,0.0030933549418198027,0.20545259891790785
Prophesee,-0.1913327782976081,0.10211030752714317,-0.015190034568412962,0.013159466990524038,0.19732845258760826
Ant Group,-0.09484800285767138,0.1594869064267567,0.029847529918497397,0.00737913980731819,0.19668693032402065
Owkin,-0.09160544224244489,0.19462165323391276,-0.013844968992755629,0.014856137437348713,0.1958630436545403
UiPath,0.14863352491607407,-0.12550759378502302,0.005490252238900456,-0.0028130251910318976,0.1885310416753625
ARM Holdings,0.1486335249160743,-0.12550759378502305,0.026246950710600472,0.0014161065038764931,0.17631817614976156
Synthesia,-0.07564660057116922,0.1378002507676985,-0.00959013057834164,-0.003899109239266338,0.1563399048685164
Groq,-0.0935633131944682,-0.11676416308485604,0.0012493973583560729,-0.004387383937716429,0.14703057700307998
PolyAI,0.06570387915617748,-0.12853969530303716,-0.01553988308350959,-0.009457349592247907,0.14415669933389405
World Labs,0.0523805483137933,-0.10433409440942995,-0.008140987601106655,0.014072407722096156,0.1329772764667769
Sakana AI,-0.08195959481008971,0.10024361785724824,-0.004222718802258229,-0.0032660022510843417,0.12944984876943
Hugging Face,-0.024057872451820055,0.12771538826118756,0.0053241805039752595,0.007256948094771022,0.12399008364874714
Adobe,0.08042058408504872,0.10093089482734846,0.025001204346124743,0.007728411300212944,0.10843436072699938
Anthropic,-0.04267109752304685,0.09560077252203725,0.006269068611936153,0.001793636952191732,0.10580604210128604
Cohere,-0.05378361031019622,0.08943377415917352,-0.017371506798780207,-0.0050801086627445405,0.10128531644913458
ByteDance,-0.07407475505503985,-0.0069106551670617,0.020113022004956353,-0.021586543884882608,0.09532428366980478
Wayve,0.0347290954580641,-0.08195808984678075,-0.0070534069178380876,-0.010613000910195167,0.08267949697574109
YouTube,-0.09255703669935539,0.05798446040862916,-0.03116614294411396,0.01732226251836188,0.07363597064841747
OpenAI,-0.027767701167369954,0.07162963731156251,-0.008440424242196768,0.0007957769037132987,0.07342328931354819
Cerebras,0.006790740292768216,-0.07584240640818578,0.009098519050904476,-0.009359544837157343,0.06652290376606416
DeepL,0.011660946131750031,-0.053643731655148685,-0.0267325396653095,-0.006148919163682194,0.061072227446267044
AMD,0.047520747746800276,-0.03376322534643869,0.0019272876981873063,-0.019668915434590283,0.047722250272757415
Qualcomm,0.0515111662052693,-0.045170549172873595,0.03835705505390745,-0.00980430064770336,0.037733303260203556
