id,name,country,headquarter_city,sector,website,founded_year,capitalization,employees_count,main_investors
199,MindWalk Holdings,États-Unis,,Entreprise IA cotée (market cap),,,68.19 M USD,,
30,MiniMax,Chine,,Modèles Multimodaux,,2021,,,
169,Mobileye,Israël,,Entreprise IA cotée (market cap),,,7.57 B USD,,
234,Mollie,,,AI startup Europe (Dealroom),,,865 M USD,,
233,Multiverse Computing,,,AI startup Europe (Dealroom),,,875 M USD,,
197,Nano-X Imaging,Israël,,Entreprise IA cotée (market cap),,,75.16 M USD,,
101,NeuralGarage,Inde,,,,,,,
241,Nothing,,,AI startup Europe (Dealroom),,,645 M USD,,
144,Notion,États-Unis,,Productivity software,,2013,330 M USD,,
221,Nscale,,,AI startup Europe (Dealroom),,,3.7 B USD,,
78,Nuro,États-Unis,,,,,,,
185,ODDITY Tech,Israël,,Entreprise IA cotée (market cap),,,0.74 B USD,,
232,OakNorth Credit Intelligence,,,AI startup Europe (Dealroom),,,897 M USD,,
196,Odysight.ai,Israël,,Entreprise IA cotée (market cap),,,78.85 M USD,,
188,One Stop Systems,États-Unis,,Entreprise IA cotée (market cap),,,0.34 B USD,,
12,OpenAI,,,,,,,,
79,OpenEvidence,États-Unis,,,,,,,
80,OpenRouter,États-Unis,,,,,,,
161,Oracle,États-Unis,,Entreprise IA cotée (market cap),,,365.96 B USD,,
216,Orangekloud Technology,Singapour,,Entreprise IA cotée (market cap),,,5.86 M USD,,
226,Oxford Nanopore Technologies,,,AI startup Europe (Dealroom),,,1.3 B USD,,
162,Palantir,États-Unis,,Entreprise IA cotée (market cap),,,318.02 B USD,,
190,Palladyne AI,États-Unis,,Entreprise IA cotée (market cap),,,0.24 B USD,,
118,Peak,Royaume-Uni,,,,,,,
145,Perplexity,États-Unis,,AI search engine,,2022,1.7 B USD,,
146,Physical Intelligence,États-Unis,,AI models for robotics,,2024,1 B USD,,
250,PhysicsX,,,AI startup Europe (Dealroom),,,487 M USD,,
255,Pigment,,,AI startup Europe (Dealroom),,,389 M USD,,
175,Pony AI,Chine,,Entreprise IA cotée (market cap),,,3.00 B USD,,
43,Poolside AI,France,,Codegen IA,,2023,,,
81,Preamble,États-Unis,,,,,,,
172,Presight AI,Émirats arabes unis,,Entreprise IA cotée (market cap),,,5.52 B USD,,
220,Presto Automation,États-Unis,,Entreprise IA cotée (market cap),,,0.04 M USD,,
82,Project Prometheus,États-Unis,,,,,,,
119,Quantexa,Royaume-Uni,,,,,,,
249,Quantum Systems,,,AI startup Europe (Dealroom),,,498 M USD,,
191,"QumulusAI, Inc.",États-Unis,,Entreprise IA cotée (market cap),,,0.22 B USD,,
83,RAIC Labs,États-Unis,,,,,,,
120,Recraft,Royaume-Uni,,,,,,,
181,Recursion Pharmaceuticals,États-Unis,,Entreprise IA cotée (market cap),,,1.63 B USD,,
240,Recursive Superintelligence,,,AI startup Europe (Dealroom),,,650 M USD,,
147,Reflection,États-Unis,,Open source AI models,,2024,2.1 B USD,,
84,Reflection AI,États-Unis,,,,,,,
148,Replit,États-Unis,,AI app and website builder,,2016,880 M USD,,
113,Respeecher,Ukraine,,,,,,,
149,Rogo,États-Unis,,AI finance tools,,2022,150 M USD,,
85,Runway,États-Unis,,,,,,,
205,SIMPPLE,Singapour,,Entreprise IA cotée (market cap),,,32.58 M USD,,
178,SPACE42,Émirats arabes unis,,Entreprise IA cotée (market cap),,,2.13 B USD,,
105,Sakana AI,Japon,,,,,,,
13,Salesforce - Einstein,,,,,,,,
150,SambaNova,États-Unis,,AI chipmaker,,2017,1.5 B USD,,
100,Sarvam AI,Inde,,,,,,,
86,Scale AI,États-Unis,,,,,,,
211,Semilux International,Taïwan,,Entreprise IA cotée (market cap),,,14.74 M USD,,
170,SentinelOne,États-Unis,,Entreprise IA cotée (market cap),,,6.42 B USD,,
187,Serve Robotics,États-Unis,,Entreprise IA cotée (market cap),,,0.45 B USD,,
151,Sierra,États-Unis,,AI agents for customer service,,2023,635 M USD,,
152,Skild AI,États-Unis,,AI systems for robotics,,2023,2 B USD,,
176,SoundHound AI,États-Unis,,Entreprise IA cotée (market cap),,,2.85 B USD,,
159,SpaceX,États-Unis,,Entreprise IA cotée (market cap),,,1.627 T USD,,
153,Speak,États-Unis,,AI language tutor,,2016,162 M USD,,
87,Spectre AI,États-Unis,,,,,,,
121,Stability AI,Royaume-Uni,,,,,,,
242,Stark,,,AI startup Europe (Dealroom),,,627 M USD,,
201,"Stem, Inc",États-Unis,,Entreprise IA cotée (market cap),,,56.33 M USD,,
32,StepFun,Chine,,LLM,,2023,,,
154,Suno,États-Unis,,Music generation software,,2022,375 M USD,,
155,Surge AI,États-Unis,,Data labeling service,,2020,0 USD,,
122,Synthesia,Royaume-Uni,,,,,,,
168,Tempus AI,États-Unis,,Entreprise IA cotée (market cap),,,8.79 B USD,,
160,Tesla,États-Unis,,Entreprise IA cotée (market cap),,,1.423 T USD,,
259,TestCorp,,San Francisco,,,,,,"Sequoia Capital, Andreessen Horowitz"
88,Thinking Machines Lab,États-Unis,,,,,,,
156,Together AI,États-Unis,,AI cloud provider,,2022,548 M USD,,
110,Translated,Italie,,,,,,,
171,UiPath,États-Unis,,Entreprise IA cotée (market cap),,,6.23 B USD,,
112,Unbabel,Portugal,,,,,,,
89,Undetectable.ai,États-Unis,,,,,,,
107,Upstage,Corée du Sud,,,,,,,
177,Upstart,États-Unis,,Entreprise IA cotée (market cap),,,2.80 B USD,,
217,VERSES AI,Canada,,Entreprise IA cotée (market cap),,,3.86 M USD,,
202,VIDA Global Inc.,États-Unis,,Entreprise IA cotée (market cap),,,50.22 M USD,,
50,Waabi,Canada,,,,,,,
90,Waymo,États-Unis,,,,,,,
222,Wayve,,,AI startup Europe (Dealroom),,,2.6 B USD,,
180,WeRide,Chine,,Entreprise IA cotée (market cap),,,1.94 B USD,,
184,WhiteFiber,États-Unis,,Entreprise IA cotée (market cap),,,1.06 B USD,,
157,World Labs,États-Unis,,Spatial AI model developer,,2023,1 B USD,,
91,Writer,États-Unis,,,,,,,
92,Writesonic,États-Unis,,,,,,,
96,Xiao-i,Chine,,,,,,,
33,Z.ai,Chine,,LLM,,2023,,,
207,Zenvia,Brésil,,Entreprise IA cotée (market cap),,,24.64 M USD,,
97,Zhipu AI,Chine,,,,,,,
93,Zoox,États-Unis,,,,,,,
212,authID,États-Unis,,Entreprise IA cotée (market cap),,,13.66 M USD,,
200,iLearningEngines,États-Unis,,Entreprise IA cotée (market cap),,,59.29 M USD,,
215,reAlpha Tech,États-Unis,,Entreprise IA cotée (market cap),,,7.4 M USD,,
